1,19
1417,4199
198,646
651,1361
3657,8460
1329,4824
3304,9827
2474,7069
2268,7073
1172,2562
2737,6283
2282,5543
1055,3128
1110,3147
5649,23690
1349,4990
2,23
1853,6269
0,3
0,35
2136,5579
234,363
672,7866
3540,17572
322,1853
1513,4177
2,6
18,464
1065,2258
549,1281
0,1
2,6
3490,7903
554,1375
1218,2612
633,1740
405,852
527,2103
11,84
0,17
463,1686
4230,13961
3115,13775
846,2052
2956,9507
63,326
1341,3378
137,408
1281,4366
2000,6945
1981,9685
1110,2973
1081,3798
2543,6503
1675,6443
4981,11133
1712,10880
1870,6213
1966,5559
2817,9834
3,65
2460,7488
321,1033
1290,3898
1762,4950
2139,4746
66,346
6017,16173
1265,5033
8,17
1857,5600
0,9
0,3
0,3
608,1598
971,2297
200,531
537,14539
879,1822
2188,6099
0,0
0,1
2546,8087
310,2344
6350,12663
89,282
1110,2584
0,3
3074,9987
5545,22253
3578,10821
0,0
801,3533
72,401
2557,11373
4899,12996
878,2596
1098,2655
2497,11211
3235,12054
3135,8609
2162,6017
376,1041
4977,11405
